DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726186.4583333334,827,9.0,0.0018466264402476665,0.0007793593414061128,4.6,-6.1826798545142765,5.93890403464999,22.4784,35.0,1.6238234332484614e-07
726186.5,881,10.0,0.0017802581992296162,0.0007766068803734228,5.1,-5.260499215095706,5.94127357349221,22.4784,35.0,1.6680627662759346e-07
726186.5416666666,861,12.0,0.00212430645862822,0.00077115987437396,4.1,-2.9958049512601406,5.943646683328973,22.4784,35.0,2.256338965084784e-07
726186.5833333334,771,11.0,0.0023948713482579444,0.0007738737926367577,2.6,-3.6692315304515546,5.9460233629394095,22.4784,35.0,2.3897536561278435e-07
726186.625,621,12.0,0.00212430645862822,0.00077115987437396,1.5,-2.9958049512601406,5.948403611100816,22.4784,35.0,2.256338965084784e-07
726186.6666666666,418,11.0,0.003093375491499845,0.0007738737926367577,3.6,-2.7724445330764524,5.95078742658865,22.4784,35.0,3.0867651391651314e-07
726186.7083333334,197,9.0,0.003341514510924349,0.0007793593414061128,4.1,-4.575062054595946,5.9531748081765326,22.4784,35.0,2.9383471649257876e-07
726186.75,24,8.0,0.0033817623205028174,0.0007821313824568191,3.1,-5.490151805736218,5.955565754636252,22.4784,35.0,2.7893454615542927e-07
726186.7916666666,0,5.0,0.0037316956788312062,0.0007905670975291559,0.5,-8.056250476995217,5.957960264737763,22.4784,35.0,2.531918661710454e-07
726186.8333333334,0,4.0,0.004064156436188535,0.0007934195857035349,1.0,-8.769193953872843,5.960358337249184,22.4784,35.0,2.580838677783233e-07
726186.875,0,2.0,0.003720652304195605,0.0007991867642294555,1.0,-10.943364102196256,5.962759970936804,22.4784,35.0,2.066157249062099e-07
726186.9166666666,0,3.0,0.0029106353914178378,0.0007962927328543715,1.0,-10.699109868214805,5.9651651645650805,22.4784,35.0,1.7289384452600143e-07
726186.9583333334,0,1.0,0.0031650079476707054,0.0008021019083630665,2.6,-12.423423039347256,5.967573916896637,22.4784,35.0,1.642176280134218e-07
726187.0,0,2.0,0.0034429916844795146,0.0007991867642294555,2.1,-11.18830284301032,5.969986226692268,7.2612000000000005,35.0,1.9119664095798524e-07
726187.0416666666,0,3.0,0.0031482382805131715,0.0007962927328543715,2.6,-10.455535694136302,5.972402092710935,7.2612000000000005,35.0,1.870076277526138e-07
726187.0833333334,0,3.0,0.0029106353914178378,0.0007962927328543715,2.6,-10.699109868214805,5.974821513709772,7.2612000000000005,35.0,1.7289384452600143e-07
726187.125,0,3.0,0.0029106353914178378,0.0007962927328543715,3.1,-10.699109868214805,5.977244488444085,7.2612000000000005,35.0,1.7289384452600143e-07
726187.1666666666,0,3.0,0.0029106353914178378,0.0007962927328543715,2.6,-10.699109868214805,5.979671015667348,7.2612000000000005,35.0,1.7289384452600143e-07
726187.2083333334,0,1.0,0.0031650079476707054,0.0008021019083630665,1.0,-12.423423039347256,5.982101094131215,7.2612000000000005,35.0,1.642176280134218e-07
726187.25,1,3.0,0.0029106353914178378,0.0007962927328543715,3.1,-10.699109868214805,5.984534722585505,7.2612000000000005,35.0,1.7289384452600143e-07
726187.2916666666,30,4.0,0.002857609994195063,0.0007934195857035349,3.6,-9.728849736734674,5.986971899778216,7.2612000000000005,35.0,1.8146521953163355e-07
726187.3333333334,94,5.0,0.003121054567749736,0.0007905670975291559,4.1,-8.530905468618926,5.9894126244555155,7.2612000000000005,35.0,2.117604698885107e-07
726187.375,158,8.0,0.003959136375222811,0.0007821313824568191,4.1,-5.031435730263695,5.9918568953617495,7.2612000000000005,35.0,3.2655751745025876e-07
726187.4166666666,279,10.0,0.005809263597486115,0.0007766068803734228,4.1,-1.8844931549057264,5.994304711239439,7.2612000000000005,35.0,5.44315218468989e-07
726187.4583333334,327,9.0,0.005364010135957507,0.0007793593414061128,5.1,-2.9958049512601406,5.9967560708292815,7.2612000000000005,35.0,4.716820448959816e-07
726187.5,261,9.0,0.005012271766386523,0.0007793593414061128,6.2,-3.2197207632237905,5.999210972870146,7.2612000000000005,35.0,4.4075207473886804e-07
726187.5416666666,256,8.0,0.005031402476845656,0.0007821313824568191,5.7,-4.347744933698607,6.001669416099093,7.2612000000000005,35.0,4.150001784263705e-07
726187.5833333334,230,8.0,0.005031402476845656,0.0007821313824568191,5.1,-4.347744933698607,6.004131399251345,7.2612000000000005,35.0,4.150001784263705e-07
726187.625,184,9.0,0.005364010135957507,0.0007793593414061128,3.6,-2.9958049512601406,6.006596921060313,7.2612000000000005,35.0,4.716820448959816e-07
726187.6666666666,125,9.0,0.0058036830979212375,0.0007793593414061128,5.1,-2.7724445330764524,6.009065980257585,7.2612000000000005,35.0,5.103445075923735e-07
726187.7083333334,59,8.0,0.0058562225550170734,0.0007821313824568191,4.6,-3.6692315304515546,6.01153857557293,7.2612000000000005,35.0,4.830329945618409e-07
726187.75,13,7.0,0.005412812585657947,0.0007849232131991243,4.6,-5.031435730263695,6.014014705734294,7.2612000000000005,35.0,4.1855057267795825e-07
726187.7916666666,0,7.0,0.005412812585657947,0.0007849232131991243,3.1,-5.031435730263695,6.016494369467806,7.2612000000000005,35.0,4.1855057267795825e-07
726187.8333333334,0,6.0,0.005433945742947135,0.0007877350463110682,2.6,-5.951238527387773,6.018977565497785,7.2612000000000005,35.0,3.9370355116391067e-07
